DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
03M479,BEACON SCHOOL ,237,573,563,575
03M485,LAGUARDIA HIGH SCH MUSIC ART ,594,558,555,567
03M494,Martin Luther King Jr HS Arts and Technology ,60,407,425,397
03M541,MANHATTAN/HUNTER COLL HS SCI ,80,481,525,469
04M435,Manhattan Center for Science and Math ,312,485,531,475
05M304,MOTT HALL HIGH SCHOOL ,63,424,421,410
05M499,FREDERICK DOUGLASS ACADEMY ,216,465,481,466
05M670,THURGOOD MARSHALL ACADEMY ,52,423,434,404
05M685,Bread & Rose Intergrated Arts High School ,54,364,378,359
05M692,High School For Math Science Engineering City Coll ,106,592,627,575
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,56,383,384,379
06M463,HS for Media and Communications-George Washingto ,75,366,376,353
06M467,High School for Law and Public Service ,106,388,388,378
06M540,A Philip Randolph Campus High School ,193,436,451,421
06M552,GREGORIO LUPERON PREP SCHOOL ,60,342,384,333
07X221,SOUTH BRONX PREPARATORY ,60,399,393,382
07X427,Community High School Social Justice ,50,372,351,359
07X495,UNIVERSITY HEIGHTS HIGH SCHOOL ,66,401,388,396
07X500,HOSTOS-LINCOLN ACADEMY SCIENCE ,62,460,455,457
07X520,FOREIGN LANGUAGE ACADEMY ,73,418,429,415
07X527,Bronx Leadership Academy II High School ,55,377,381,379
07X548,Urban Assembly School for Careers in Sports ,58,381,423,384
07X551,Bronx Academy of Letters ,51,416,406,435
07X600,ALFRED E SMITH HIGH SCHOOL ,53,367,372,354
07X655,Samuel Gompers Vocational Technical High School ,105,370,385,354
07X670,Health Opportunities High School ,81,400,391,387
08X282,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56,395,407,388
08X305,Pablo Neruda Academy Architecture & World Studies ,54,359,358,338
08X405,HERBERT H LEHMAN HIGH SCHOOL ,448,414,433,397
08X650,Jane Addams Vocational High School ,152,370,377,363
09X231,Eagle Academy for Young Men ,66,391,399,386
09X252,MOTT HALL BRONX HIGH SCHOOL ,63,395,398,399
09X260,Bronx Center for Science and Mathematics ,73,447,495,454
09X263,VALIDUS PREPARATORY ACADEMY ,90,359,347,356
09X413,HIGH SCHOOL MEDICAL SCIENCES ,98,423,450,435
09X414,Jonathan Levin HS for Media and Communications ,81,347,353,351
09X505,BRONX SCH LAW GOVMT & JUSTICE ,87,413,390,420
09X525,Bronx Leadership Academy High School ,116,402,397,396
10X141,RIVERDALE KINGSBRIDGE ACADEMY ,101,475,479,470
10X225,Theatre Arts Production Company School ,53,382,375,363
10X284,BRONX SCHOOL OF LAW & FINANCE ,54,404,397,383
10X368,Information Technology Academy ,56,418,411,398
10X433,HIGH SCHOOL TEACHING PROFESSNS ,50,386,385,381
10X434,Belmont Preparatory High School ,65,358,370,346
10X438,Fordham Leadership Academy for Business Technolog ,71,375,385,373
10X439,Bronx High School of Law and Community Service ,57,389,400,382
10X440,DeWitt Clinton High School ,438,425,440,417
10X445,BRONX HIGH SCHOOL OF SCIENCE ,683,632,685,643
10X475,JOHN F KENNEDY HIGH SCHOOL ,87,364,375,358
10X477,MARBLE HILL SCH INTL STUDIES ,70,406,429,403
10X546,BRONX THEATER HIGH SCHOOL ,50,406,389,388
10X660,Grace Dodge Vocational High School ,93,380,385,369
10X696,HS of American Studies at Lehman College ,74,635,630,619
11X249,Bronx Health School High School 11x249 ,52,363,366,364
11X253,High School For Writing & Communication Arts ,57,393,363,387
11X265,BRONX LAB SCHOOL ,70,356,370,355
11X275,High School of Computers and Technology ,56,399,402,373
11X288,Columbus Institute for Math and Science ,90,432,464,424
11X415,Christopher Columbus High School ,114,354,373,350
11X418,Bronx High School for the Visual Arts ,54,419,403,392
11X455,HARRY S TRUMAN HIGH SCHOOL ,201,380,384,379
11X542,PELHAM PREPARATORY ACADEMY ,92,427,416,424
12X550,HIGH SCHOOL OF WORLD CULTURES ,50,291,333,291
12X682,Fannie Lou Hamer Freedom High School ,75,333,326,330
12X684,WINGS ACADEMY ,58,386,397,383
12X692,MONROE ACAD VISUAL ARTS DESGN ,70,346,341,356
13K350,Urban Assembly School of Music and Art ,59,394,371,371
13K419,Science Skills Center High School ,104,419,421,409
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,1047,588,652,581
13K483,Urban Assembly School of Law and Justice ,104,414,415,412
13K499,Acorn Association of Community Organization Return ,103,367,361,360
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50,453,469,441
13K605,George Westinghouse Vocational Technical HS ,87,390,360,373
13K670,BENJAMIN BANNEKER ACADEMY ,168,476,477,445
14K071,JHS 071 JUAN MOREL CAMPOS ,59,362,369,349
14K404,ACADEMY FOR YOUNG WRITERS ,70,377,366,365
14K449,BROOKLYN LATIN SCHOOL ,50,536,534,527
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMEN ,52,381,381,366
14K474,Progress High School For Professional Careers ,102,365,375,373
14K477,School for Legal Studies ,82,385,390,384
14K478,"Enterprise, Business and Technology High School ",80,360,390,354
14K561,WILLIAMSBURG PREP ,58,375,386,369
14K610,AUTOMOTIVE HIGH SCHOOL ,73,353,359,340
15K429,BROOKLYN SCHOOL GLOBAL STUDIES ,50,374,365,374
15K448,Brooklyn Secondary Sch for Collaborative Studies ,63,385,380,375
15K462,"Secondary School for Law, Journalism and Research ",50,406,409,393
15K463,SECONDARY SCHOOL JOURNALISM ,75,393,372,370
15K464,SECONDARY SCHOOL FOR RESEARCH ,65,373,395,368
15K656,Brooklyn High School of the Arts ,71,416,417,425
16K455,BOYS AND GIRLS HIGH SCHOOL ,143,369,367,366
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50,401,412,404
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,81,382,387,381
17K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,71,361,376,365
17K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,54,371,366,381
17K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,68,445,425,415
17K546,HIGH SCHOOL FOR PUBLIC SERVICE ,83,412,427,420
17K590,Medgar Evers College Preparatory High School ,113,459,482,452
17K600,Clara Barton High School ,282,419,413,411
17K625,Paul Robeson High School ,121,355,358,348
18K500,CANARSIE HIGH SCHOOL ,128,372,373,364
19K409,EAST NEW YORK FAMILY ACADEMY ,61,435,428,414
19K420,FRANKLIN K LANE HIGH SCHOOL ,140,353,379,341
19K615,East New York High School of Transit Technology ,184,413,419,403
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50,398,402,378
20K445,NEW UTRECHT HIGH SCHOOL ,317,409,471,407
20K485,High School of Telecommunication Arts ,221,450,471,440
20K490,FORT HAMILTON HIGH SCHOOL ,581,416,486,409
20K505,Franklin D Roosevelt High School ,385,387,492,377
21K344,Rachel Carson High School for Coastal Studies ,66,422,459,418
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,379,386,429,385
21K525,EDWARD R MURROW HIGH SCHOOL ,686,472,503,468
21K540,JOHN DEWEY HIGH SCHOOL ,349,414,465,396
21K620,William E. Grady Vocational Technical High School ,56,385,393,361
21K690,BROOKLYN STUDIO SECONDARY SCH ,86,426,419,418
22K405,Midwood High School at Brooklyn College ,725,493,543,491
22K425,JAMES MADISON HIGH SCHOOL ,641,449,478,445
22K495,SHEEPSHEAD BAY HIGH SCHOOL ,192,380,416,380
22K535,LEON M GOLDSTEIN HIGH SCHOOL ,239,543,578,559
22K555,Brooklyn College Academy High School ,109,459,460,446
23K514,Frederick Douglass Academy VII High School ,50,416,396,414
23K697,TEACHERS PREPARATORY SCHOOL ,59,396,389,389
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,65,407,432,417
24Q267,High School of Applied Communication ,67,411,420,407
24Q455,NEWTOWN HIGH SCHOOL ,251,379,427,372
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269,398,431,391
24Q530,INTERNATL HS@LA GUARDIA COMM C ,75,355,428,359
24Q550,HIGH SCHOOL FOR ARTS/BUSINESS ,127,363,372,363
24Q600,Queens Vocational & Tech High School ,130,415,428,401
24Q610,Aviation Career & Technical Education High School ,289,444,494,427
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,57,325,415,311
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50,438,485,442
25Q285,WORLD JOURNALISM PREPARATORY SCHOOL ,56,429,425,421
25Q425,JOHN BOWNE HIGH SCHOOL ,302,391,423,389
25Q460,FLUSHING HIGH SCHOOL ,278,372,398,366
25Q525,Townsend Harris High School at Queens College ,273,637,644,642
25Q670,Robert F Kennedy Community High School ,61,449,471,462
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697,486,551,492
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808,457,530,454
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,343,402,411,398
26Q495,BAYSIDE HIGH SCHOOL ,732,472,531,467
26Q566,Queens High School-Teaching Liberal Arts Sciences ,144,438,455,433
27Q260,FREDERICK DOUGLASS ACADEMY VI ,65,393,390,387
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,63,455,423,420
27Q400,AUGUST MARTIN HIGH SCHOOL ,102,377,372,362
27Q410,BEACH CHANNEL HIGH SCHOOL ,114,393,390,380
27Q475,RICHMOND HILL HIGH SCHOOL ,397,380,401,380
27Q480,JOHN ADAMS HIGH SCHOOL ,302,399,424,404
27Q650,"HS for Construction Trades, Engineering and Arch ",87,421,464,424
28Q440,FOREST HILLS HIGH SCHOOL ,627,468,491,462
28Q470,JAMAICA HIGH SCHOOL ,153,393,400,391
28Q505,HILLCREST HIGH SCHOOL ,498,385,400,385
28Q620,Thomas Edison Vocational-Technical High School ,529,455,490,439
28Q680,Queens Gateway to Health Sciences Secondary Schoo ,89,525,532,515
28Q687,QUEENS HS FOR SCIENCE YORK COL ,99,613,650,612
28Q690,High School For Law Enforcement And Public Safety ,62,408,429,412
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL ,55,394,358,388
29Q272,GEORGE WASHINGTON CARVER HS ,68,425,435,418
29Q492,MATH SCIENCE RESEARCH TECH MAG ,59,405,430,405
29Q494,LAW GOVERNMENT SERVICE MAGNET ,60,406,412,391
29Q496,BUSINESS COMPUTER APPLICATION ,52,388,389,380
30Q445,WILLIAM C BRYANT HIGH SCHOOL ,322,405,456,408
30Q450,LONG ISLAND CITY HIGH SCHOOL ,296,418,434,408
30Q501,Frank Sinatra School of the Arts ,153,506,495,499
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL ,140,440,452,424
30Q555,NEWCOMERS HIGH SCHOOL ,147,343,447,346
30Q575,ACADEMY OF AMERICAN STUDIES ,120,502,505,515
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64,560,587,570
31R080,MICHAEL J PETRIDES SCHOOL ,86,508,523,502
31R440,NEW DORP HIGH SCHOOL ,282,431,446,434
31R445,PORT RICHMOND HIGH SCHOOL ,237,437,442,425
31R450,CURTIS HIGH SCHOOL ,373,439,441,430
31R455,TOTTENVILLE HIGH SCHOOL ,698,459,482,467
31R460,SUSAN E WAGNER HIGH SCHOOL ,531,463,482,457
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL ,287,638,673,617
32K545,EBC High School for Public Service - Bushwick ,82,389,390,376
32K549,BUSHWICK HS FOR SOCIAL JUSTICE ,72,363,364,358
