station_name,count_average,count_week_2010-06-04,count_week_2010-06-11,count_week_2010-06-18,count_week_2010-06-25,count_week_2010-07-02,count_week_2010-07-09,count_week_2010-07-16,count_week_2010-07-23,count_week_2010-07-30,count_week_2010-08-06,count_week_2010-08-13,count_week_2010-08-20,count_week_2010-08-27,count_week_2010-09-03,count_week_2010-09-10,count_week_2010-09-17,count_week_2010-09-24,count_week_2010-10-01,count_week_2010-10-08,count_week_2010-10-15,count_week_2010-10-22,count_week_2010-10-29,count_week_2010-11-05,count_week_2010-11-12,count_week_2010-11-19,count_week_2010-11-26,count_week_2010-12-03,count_week_2010-12-10,count_week_2010-12-17,count_week_2010-12-24,count_week_2010-12-31,count_week_2011-01-07,count_week_2011-01-14,count_week_2011-01-21,count_week_2011-01-28,count_week_2011-02-04,count_week_2011-02-11,count_week_2011-02-18,count_week_2011-02-25,count_week_2011-03-04,count_week_2011-03-11,count_week_2011-03-18,count_week_2011-03-25,count_week_2011-04-01,count_week_2011-04-08,count_week_2011-04-15,count_week_2011-04-22,count_week_2011-04-29,count_week_2011-05-06,count_week_2011-05-20,count_week_2011-05-27,count_week_2011-06-03,count_week_2011-06-10,count_week_2011-06-17,count_week_2011-06-24,count_week_2011-07-01,count_week_2011-07-08,count_week_2011-07-15,count_week_2011-07-22,count_week_2011-07-29,count_week_2011-08-05,count_week_2011-08-12,count_week_2011-08-19,count_week_2011-08-26,count_week_2011-09-02,count_week_2011-09-09,count_week_2011-09-16,count_week_2011-09-23,count_week_2011-09-30,count_week_2011-10-07,count_week_2011-10-14,count_week_2011-10-21,count_week_2011-10-28,count_week_2011-11-04,count_week_2011-11-11,count_week_2011-11-18,count_week_2011-11-25,count_week_2011-12-02,count_week_2011-12-09,count_week_2011-12-16,count_week_2011-12-23,count_week_2011-12-30,count_week_2012-01-06,count_week_2012-01-13,count_week_2012-01-20,count_week_2012-01-27,count_week_2012-02-03,count_week_2012-02-10,count_week_2012-02-17,count_week_2012-02-24,count_week_2012-03-02,count_week_2012-03-09,count_week_2012-03-16,count_week_2012-03-23,count_week_2012-03-30,count_week_2012-04-06,count_week_2012-04-13,count_week_2012-04-20,count_week_2012-04-27,count_week_2012-05-04,count_week_2012-05-11,count_week_2012-05-18,count_week_2012-05-25,count_week_2012-06-01,count_week_2012-06-08,count_week_2012-06-15,count_week_2012-06-22,count_week_2012-06-29,count_week_2012-07-06,count_week_2012-07-13,count_week_2012-07-20,count_week_2012-07-27,count_week_2012-08-03,count_week_2012-08-10,count_week_2012-08-17,count_week_2012-08-24,count_week_2012-08-31,count_week_2012-09-07,count_week_2012-09-14,count_week_2012-09-21,count_week_2012-09-28
111TH STREET,12816.760330578512,11091,11659,12037,9809,11944,8586,9774,9651,9821,11568,11461,11790,11240,11899,11355,13216,12798,11962,12718,12128,12707,12781,12480,12641,12897,10895,12129,12488,12084,11562,11242,11861,12115,12057,12151,13844,13336,13391,11695,13102,12912,13242,12619,10581,10548,10482,11389,11808,10399,12402,12389,11789,12483,12492,12406,12660,11339,12478,11981,12040,12318,12293,11724,11674,9888,12314,16690,16789,12181,17103,15598,16716,16659,15912,15246,16695,13548,16317,16730,16389,15955,10477,13443,15704,14247,13461,15339,16043,15591,11731,15448,15916,15791,15987,12637,15065,12215,13524,15544,15817,16022,12717,13294,13886,12651,12566,12568,12357,11354,12404,12128,11976,9847,11849,11971,11706,12218,12424,11079,10266,10422
111TH STREET-LENOX AVENUE,46667.454545454544,42968,45120,45848,45041,45486,43444,44111,44525,44350,33505,32447,32045,31820,33213,30047,35788,45096,42263,44761,42641,45398,45096,44987,45744,46159,40515,43729,46627,45106,42666,34467,42846,42548,41056,41374,45603,45970,45385,40475,46098,46206,47106,46000,45371,46736,47059,42672,45470,48210,47169,47907,44922,47430,46635,47866,48660,44319,48575,47891,45457,47659,46540,44106,44836,35951,44582,52468,53966,38823,52710,50649,53187,53838,51505,53163,53069,45816,51171,54125,54417,52084,40177,47559,50873,47430,49108,52180,53553,51481,44983,51666,52952,53580,54347,39628,51703,47403,55136,52777,54074,54999,47945,54911,51328,54770,50595,50386,49482,47503,50427,48595,49513,49093,49533,48690,48380,49124,47582,51640,49105,49857
111TH STREET-ROOSEVELT AVE,61692.619834710742,59485,62090,61541,62000,61906,59108,60641,62404,61382,61433,61337,60562,60588,62105,59445,62251,63029,65743,61421,60249,60004,61195,59853,59483,59749,54645,57922,58462,58042,57908,53280,55697,56993,56421,56807,59115,59164,60470,57729,59417,58874,60899,60868,60368,59770,61832,61337,60891,63001,60913,62352,60031,62370,61639,62899,62964,58822,62398,62435,60836,62467,62704,60223,61838,49927,59293,66747,74589,49572,65699,64398,66870,66774,64914,65557,66070,59895,65963,66767,66394,65176,57010,59134,63033,60891,61477,64387,64830,64742,60649,63981,64796,65445,66059,49509,64544,64210,65641,65583,64841,66798,57908,67316,63984,66777,61611,62403,63300,58545,63240,62320,64355,63053,62002,63241,63228,64040,61142,63809,62463,64098
116TH STREET-8TH AVENUE,34010.983471074382,29760,32206,32628,33032,32541,29334,32030,32339,31958,33488,33237,33086,32875,34161,32204,34795,34668,34313,33979,33600,34663,34987,34771,34249,34352,30100,33104,34325,34049,31602,25208,31861,32149,31041,31409,33462,34095,34466,30830,33983,34415,34963,34179,33997,34124,34733,33341,32836,33985,32634,32146,29263,31970,32819,32273,32011,30497,32213,33647,33185,33771,32880,32897,32389,24622,31837,36802,33685,27564,37321,35585,37710,37924,36871,36778,37604,32275,36498,38464,38612,37203,27068,34031,36205,34142,35261,36645,37547,36778,31664,36894,37367,37496,38027,28431,37257,34431,37896,37635,37816,38345,33891,38328,34835,38150,35643,36097,36004,32806,34740,35113,34726,34625,34474,34313,34529,35288,32729,36336,36051,36252
116TH STREET-COLUMBIA,90057.727272727279,66084,79568,79140,77147,78151,70603,77231,74809,72764,75646,72168,66569,66483,85426,93451,106697,90462,85866,108415,110389,110475,108849,98738,107598,105505,79983,99305,107615,95865,69444,37795,58700,68305,87071,99769,106173,108994,105674,103293,106929,102656,64141,101738,107058,108067,104333,100935,95405,92905,91561,75764,67220,79818,80493,79055,87876,76254,89843,84022,83447,80639,74647,67695,68094,67728,96639,108666,111394,84609,111126,112730,113694,113602,111187,103152,113551,85422,103616,110839,102403,81989,40763,55290,71886,90066,106386,110029,110565,109201,104194,108983,103189,78734,104547,84029,107708,102414,107289,106457,96571,93165,81712,79100,66965,82043,79876,79250,88214,74974,88197,88070,88948,84450,76241,69953,68947,85628,97090,109984,108121,108594
116TH STREET-LENOX AVENUE,59044.793388429753,54878,58179,58731,57188,57508,52999,55814,54898,54515,41717,41551,40333,40205,40828,38105,45486,56526,54033,57091,55105,58251,54658,57329,58889,58329,50747,55834,59353,57736,56050,43955,55084,54948,52383,51809,57233,58232,58535,51982,59116,59524,59721,59556,60797,61047,61148,56557,58432,61960,60167,60522,56308,60350,61575,60634,61980,54718,59751,57637,57791,59452,58755,56921,57467,44449,56282,66152,68608,48707,67649,63635,67190,68477,66944,66451,57612,48644,61163,69013,70009,68595,52376,61114,64975,60776,62377,65978,67908,65966,58012,67050,68398,67904,69196,51489,67117,60181,67486,68080,68410,68944,58850,68337,62936,68679,64797,62948,62900,58584,62375,61449,62360,62330,62621,60542,60032,60694,59118,64600,63696,64342
116TH STREET-LEXINGTON AVE,89737.57024793388,80169,85069,90975,81035,83076,78349,79140,82233,85348,86488,86382,85013,83277,86196,84737,93218,90691,87472,89440,87415,90136,89737,88707,90465,89696,80108,86313,88582,87067,86161,70692,82017,81677,79403,79280,86699,87147,89115,78671,87130,86387,89461,87596,88420,89611,90134,83201,84996,93187,87129,89776,83147,90052,88370,89296,89028,81476,88524,86810,85077,85541,86646,83792,84347,69308,86413,101500,104761,74675,101677,96257,102228,102323,99976,101312,103696,89206,101562,103729,104160,102176,78275,90128,95585,90448,91580,100584,99589,99944,86003,100374,102222,102273,102605,76563,100313,88838,102043,100676,102299,107061,88137,100413,94377,101266,95074,91974,93079,84870,89409,89531,89698,81091,81719,85920,79962,88370,86765,93383,93557,90759
121ST STREET,11226.727272727272,10482,11030,10881,9123,10923,8017,8963,8629,8844,10578,10925,10700,10551,11171,10420,11429,11590,11192,11748,11545,12269,12868,11825,11644,11904,9897,11136,11222,10672,10431,10754,10798,10912,10394,10804,11904,11802,11807,10675,11864,11669,11807,11596,9494,9416,9564,10449,10908,9467,11234,11570,10939,11577,11437,11522,11810,10601,11717,11399,11430,11401,11417,10680,11074,9418,11002,12833,12830,9707,13265,12740,13210,13657,12090,12437,12922,10897,12522,12755,12598,12485,9856,10647,11850,11236,11454,12415,12988,12607,11338,12522,12845,12751,12958,9744,12489,11459,10714,12126,12416,12785,10112,10426,11483,10304,11289,11520,11609,10700,11758,11564,10957,9311,10981,11055,11179,11332,11161,9998,9243,9383
125TH STREET & BROADWAY,43654.008264462813,41313,43568,44194,43601,40548,37803,39389,39067,38824,40775,40970,41186,40301,42345,41665,44111,34541,31862,41492,41022,42227,42892,41927,41674,41517,37180,39611,42066,41102,38486,31724,37528,38473,38763,39254,41820,42093,42759,39858,43020,42240,32967,41486,42443,43426,42744,41140,42005,44062,43774,42798,41456,43029,44889,43975,45500,41832,45590,44253,43563,43676,42482,39705,41882,32792,42839,48254,53645,36849,49452,47081,49894,50096,48874,48498,48962,42643,47125,49670,49617,47128,35235,41781,45708,43765,46738,48728,48894,47798,44085,48194,48379,46653,49601,37182,48138,44827,48935,48852,49800,47346,44956,50133,45538,49708,46621,46569,47164,44099,46841,46636,47445,46442,44954,44479,44676,46575,46130,49054,47661,48928
125TH STREET,142998.97520661156,130698,136517,141276,142372,139996,126925,135956,137113,137793,139371,136602,135215,133256,138626,132215,144623,147515,142829,145919,140778,148120,146886,144888,145520,146466,126026,137474,141431,137806,131880,98854,124892,124876,120964,120183,134873,139303,145607,127234,142754,141251,148030,143121,143055,145614,145749,135266,139233,148081,145521,150931,137772,146041,144286,147251,147854,131938,145807,141169,140935,142381,139174,133763,135218,108772,136109,155101,138283,114792,155807,148915,155605,158017,150950,152084,154733,135827,152477,151035,156644,153326,118676,135342,143002,136470,142036,155097,158735,156982,141705,155697,161357,159210,161966,119341,158438,145834,162806,158043,160959,164564,140204,159425,147057,159184,151864,152154,153528,138820,146699,144358,146125,144112,142708,141884,144965,147229,142381,153884,149853,150632
125TH STREET-LENOX AVENUE,77143.603305785131,70731,77580,77637,76244,76581,69537,73959,74599,74752,58699,56530,56621,54545,54932,50857,61128,78854,71561,77324,73417,78266,76981,76254,77542,77062,66165,74316,78318,76338,73852,58788,72384,71058,67368,68352,76012,78517,79452,70711,80664,80496,81944,80697,75951,81096,80799,77044,78083,80932,77549,79409,73360,78782,80382,79828,79565,70295,78204,74384,73944,77961,77440,73875,73822,60462,74483,83909,91875,63308,86501,81190,85179,87004,84453,83456,83767,71354,81179,86639,85701,84843,66486,75413,79660,74154,76725,82828,84721,82849,76387,84725,87488,87693,87745,64697,86082,78418,86982,87212,87850,88801,75757,87171,80550,87314,82943,82271,81236,74474,80935,80223,82112,79783,80751,79223,79252,79516,79863,84391,81450,82612
125TH STREET-LEXINGTON AVE,151339.89256198346,141408,152514,159196,152108,147691,133664,148586,148011,146904,150468,147496,145933,141588,148031,153348,158000,157540,149618,155932,148623,155772,154935,152058,155286,155880,130205,150332,151606,147347,134805,107393,140372,140241,133977,133639,148018,152498,155185,132028,153676,151595,155539,152244,152572,155541,154446,140149,146498,155368,149512,155352,141808,155522,160248,152988,151577,134882,151749,145426,145806,146705,144941,139856,143051,124357,150538,165710,173546,122960,167154,155864,166146,164354,162475,163948,167061,137922,162230,163770,163782,154490,118316,139631,153505,142132,150788,161477,166901,160880,139698,162249,166271,164928,166408,123014,160507,150840,166098,160791,166559,170162,142995,160060,146762,163825,161586,153542,163595,136615,151980,149405,150417,160379,158500,150837,155813,157158,159074,161304,157117,158414
135TH STREET-LENOX AVENUE,76138.652892561979,66734,72997,73756,70652,73072,66647,71024,72497,71394,56329,55087,54490,52789,53436,49244,59769,73266,69011,72790,69703,74163,73737,72095,73183,74841,64052,72682,77524,76105,70748,58316,72590,72747,68447,70422,76439,76921,76671,69010,77066,77243,77815,76643,77899,78265,79055,73792,75087,79327,78113,78180,71365,77760,78582,78351,78285,69326,77187,75680,75523,76444,75949,73661,73883,54127,72034,84804,88404,64408,85661,81228,86387,87244,85179,82965,87326,73168,84273,88172,88644,85205,66026,76636,83834,77625,82121,85807,87274,85903,75211,86226,87962,86749,87704,65184,84680,77716,85770,86325,86984,88172,75442,87274,79485,87346,80970,80722,80819,73029,80304,79719,81554,78794,79597,78544,81053,77629,75633,82494,81319,82051
135TH STREET-ST NICHOLAS AV,26685.363636363636,21508,23729,23638,24183,23443,21188,23038,23642,23272,24201,23945,26752,24793,26047,24318,27281,28160,27921,26158,24926,26705,26911,26405,26741,26598,21462,25108,25968,25239,22186,16545,13652,22402,21226,21547,24742,24879,25524,21232,25385,25213,26283,25195,25281,25463,26131,22930,24356,26846,25886,26549,23431,26179,25816,25581,25499,22775,25920,25349,25494,24533,24451,24386,26227,20615,24870,33012,29637,23751,32423,30029,33397,33662,31518,30929,32689,25798,31983,33211,32701,30142,18867,26817,29965,27549,27477,31669,32388,32508,23512,31294,31531,32127,31968,25086,30993,25444,32874,33129,32293,33044,28878,31942,28618,31860,27520,27080,27364,23916,26773,26755,26954,26037,25917,26292,29230,29678,27132,30466,28396,28845
137TH STREET-BROADWAY,80691.090909090912,68211,73949,73884,74558,74732,67764,72324,72606,68801,67664,68314,68858,73562,84938,72395,85287,70116,67262,86147,80362,86428,86081,83603,84892,87790,70941,82865,86121,80381,70774,53034,65323,68091,67538,68714,86668,84935,85967,76640,86072,85625,71845,84286,85809,87260,86335,68623,77038,86480,83275,80415,70036,75729,75867,74890,76335,68918,74822,72655,69474,70650,70432,69636,73400,69486,80877,93322,99147,66195,95265,90458,99167,99978,96713,95568,99596,80129,95787,97941,95443,86872,59612,71546,79083,75216,79403,96098,98391,92970,81592,95996,96810,95040,96693,73244,91628,72644,94506,95330,95406,97477,80366,88389,81762,86401,77656,79220,78675,72332,77798,75863,76153,72539,72437,72618,75122,90157,84927,94622,85002,86527
138TH ST-GRAND CONCOURSE,16280.776859504133,14457,15832,16246,15941,15353,13604,15303,16176,15283,16044,15459,15241,14760,15395,14338,16778,16790,16326,16654,15614,16565,16581,15957,16708,16529,13292,16165,16339,15886,14379,10560,14788,14997,14639,14547,16514,16014,16160,13285,16191,15637,15920,15675,15831,16236,16027,14050,14947,16100,15956,16711,15013,16696,16746,16829,16662,14309,16257,15473,15812,15931,15655,15103,15455,13171,14396,17583,18106,13719,18004,16555,17816,18303,18265,18425,18294,14706,18583,18440,18504,17643,12640,15132,17393,16027,16494,17762,17909,17446,15130,17677,17977,18018,18551,13796,17346,16127,18021,17929,18492,18557,16686,18031,16311,18199,17573,17009,17496,15003,18025,18069,17971,18441,17562,16902,16981,16664,15407,17563,17267,17156
138TH STREET-3RD AVE,38884.74380165289,35983,37355,38397,36964,36155,33718,35860,35284,35771,35572,35443,35024,34286,35755,34210,38260,38283,36927,38180,36551,37997,37760,38073,38510,38149,33143,37613,37701,37310,35738,29456,35703,35959,34730,34500,37387,38495,38790,34091,38510,38115,38311,38177,38566,39134,39262,35312,36934,39920,38457,39352,36686,39584,39692,39497,39111,36514,39564,38571,38316,38784,37900,37174,37819,30212,36287,42656,43079,32684,43179,41040,43797,43297,46586,48003,43867,37590,42999,44126,44215,43177,33523,38246,41819,39463,40796,43457,43087,42620,41459,42574,43805,43291,43409,32236,41316,38284,42928,42146,42556,43730,37450,42420,38925,42704,39991,40311,40193,36586,42881,42140,42148,41805,37857,37131,37404,39162,37678,40629,45191,40564
145TH STREET,123158.27272727272,108310,113929,115122,115784,114600,106506,112590,112976,109629,110940,111372,109727,111810,122930,111449,125227,130210,129343,129237,123109,130856,129369,128065,128928,130537,111778,123265,127188,120560,109671,84192,106027,107992,103874,105334,125461,124346,127701,113856,126318,126354,132504,127867,126712,129760,130547,110983,119221,129584,125092,126865,112592,123049,120988,121647,123638,112379,122852,120094,118191,117170,113778,111698,114100,97672,121691,139478,125141,97707,136971,132844,141988,142385,137908,139159,141570,120693,137976,141302,140385,130178,95695,113841,122739,116009,120305,138833,140119,127336,122737,136266,139868,138591,140594,103080,136459,118571,142147,138958,139460,142264,118749,134818,121074,132057,125718,124014,128360,117368,123373,120952,121385,118993,117551,117242,118199,132718,125343,137679,129266,130589
145TH STREET-BROADWAY,55337.421487603307,53885,55065,55187,56544,56165,52152,53694,53956,53435,52960,52564,52206,52019,53562,53246,55352,43199,39531,52019,51357,53464,53549,52527,52939,52959,48339,51734,54962,54093,52537,44277,49208,50739,50274,50861,54981,55139,55485,51600,55276,54780,50377,51609,53975,55142,53632,51983,53320,55905,54080,53725,53038,53309,54120,53733,56606,53225,55634,53882,53566,54377,53667,51277,52348,42223,52210,59288,65322,44038,60739,56919,60559,56185,59954,60056,61299,53924,59521,61972,62279,60321,48693,54487,57295,55339,57515,60504,62741,61877,56881,60733,62645,62230,63225,46013,59174,56989,60561,61256,61655,62565,52238,61564,59878,62380,57428,57962,58833,56343,58229,57478,59051,56685,57684,57360,57057,57924,57491,60875,59919,59911
